Repo,Remote
AFFiNE,https://github.com/toeverything/AFFiNE.git
Dexie.js,https://github.com/dexie/Dexie.js.git
FFmpeg,https://github.com/FFmpeg/FFmpeg.git
Maskbook,https://github.com/DimensionDev/Maskbook.git
PearPlayer.js,https://github.com/PearInc/PearPlayer.js.git
RuoYi,https://github.com/yangzongzhuan/RuoYi.git
Vue.Draggable,https://github.com/SortableJS/Vue.Draggable.git
ansi-colors,https://github.com/doowb/ansi-colors.git
ant-design-vue,https://github.com/vueComponent/ant-design-vue.git
autoprefixer,https://github.com/postcss/autoprefixer
axios,https://github.com/axios/axios
babel-handbook,https://github.com/jamiebuilds/babel-handbook.git
beam,https://github.com/doodlewind/beam
bit,https://github.com/teambit/bit.git
blocksuite,https://github.com/toeverything/blocksuite.git
blocky-editor,https://github.com/vincentdchan/blocky-editor.git
builder-vite,https://github.com/storybookjs/builder-vite.git
bun,https://github.com/oven-sh/bun.git
chrome-plugin-demo,https://github.com/sxei/chrome-plugin-demo.git
co,https://github.com/tj/co.git
connect,https://github.com/senchalabs/connect.git
copy-webpack-plugin,https://github.com/webpack-contrib/copy-webpack-plugin.git
countUp.js,https://github.com/inorganik/countUp.js.git
cropperjs,https://github.com/fengyuanchen/cropperjs.git
crypto-js,https://github.com/brix/crypto-js.git
csstree,https://github.com/csstree/csstree.git
cypress,https://github.com/cypress-io/cypress
d3,https://github.com/d3/d3.git
date-fns,https://github.com/date-fns/date-fns.git
deno,https://github.com/denoland/deno.git
drizzle-orm,https://github.com/drizzle-team/drizzle-orm
easy-mock,https://github.com/easy-mock/easy-mock.git
electron,https://github.com/electron/electron.git
element,https://github.com/ElemeFE/element.git
element-plus,https://github.com/element-plus/element-plus.git
enable-chromium-hevc-hardware-decoding,https://github.com/StaZhu/enable-chromium-hevc-hardware-decoding.git
eslint-config,https://github.com/antfu/eslint-config
estree-walker,https://github.com/Rich-Harris/estree-walker.git
ffmpeg.wasm,https://github.com/ffmpegwasm/ffmpeg.wasm.git
ffmpeg.wasm-core,https://github.com/ffmpegwasm/ffmpeg.wasm-core.git
flat,https://github.com/netless-io/flat.git
flv.js,https://github.com/bilibili/flv.js.git
gitalias,https://github.com/GitAlias/gitalias.git
githd,https://github.com/huizhougit/githd.git
gl-transitions,https://github.com/gl-transitions/gl-transitions.git
gogocode,https://github.com/thx/gogocode.git
gpac,https://github.com/gpac/gpac.git
gptproxy,https://github.com/xicilion/gptproxy.git
h265web.js,https://github.com/numberwolf/h265web.js
headlessui,https://github.com/tailwindlabs/headlessui.git
highlight.js,https://github.com/highlightjs/highlight.js.git
histoire,https://github.com/histoire-dev/histoire.git
hls.js,https://github.com/video-dev/hls.js.git
hotkeys,https://github.com/jaywcjlove/hotkeys.git
howler.js,https://github.com/goldfire/howler.js.git
html2canvas,https://github.com/niklasvh/html2canvas.git
idb,https://github.com/jakearchibald/idb.git
ijkplayer,https://github.com/bilibili/ijkplayer.git
image-size,https://github.com/image-size/image-size.git
intlify@bundle-tools,https://github.com/intlify/bundle-tools.git
io-ts,https://github.com/gcanti/io-ts
joi,https://github.com/hapijs/joi
js-logger,https://github.com/jonnyreeves/js-logger
jsPDF,https://github.com/MrRio/jsPDF.git
jsjs-homework,https://github.com/bramblex/jsjs-homework.git
lambda-view,https://github.com/Jianru-Lin/lambda-view.git
language-tools,https://github.com/vuejs/language-tools.git
learning-threejs,https://github.com/josdirksen/learning-threejs.git
lit,https://github.com/lit/lit.git
live-video-study-notes,https://github.com/zhw2590582/live-video-study-notes.git
lottie-web,https://github.com/airbnb/lottie-web.git
ls-lint,https://github.com/loeffel-io/ls-lint
magic-string,https://github.com/Rich-Harris/magic-string.git
mediainfo.js,https://github.com/buzz/mediainfo.js
micromatch,https://github.com/micromatch/micromatch.git
module-federation-examples,https://github.com/module-federation/module-federation-examples.git
mp4-mjpeg,https://github.com/mi-g/mp4-mjpeg.git
mp4box-sw,https://github.com/gpac/mp4box-sw.git
mp4box.js,https://github.com/gpac/mp4box.js.git
napi-rs,https://github.com/napi-rs/napi-rs.git
node,https://github.com/nodejs/node.git
nx,https://github.com/nrwl/nx.git
petite-vue,https://github.com/vuejs/petite-vue.git
pinia,https://github.com/vuejs/pinia
playwright,https://github.com/microsoft/playwright.git
popper-core,https://github.com/popperjs/popper-core.git
postcss,https://github.com/postcss/postcss
prettier,https://github.com/prettier/prettier
prettier-vscode,https://github.com/prettier/prettier-vscode.git
pretty-ts-errors,https://github.com/yoavbls/pretty-ts-errors.git
prisma,https://github.com/prisma/prisma
python-mjpeg-to-mp4,https://github.com/jr-k/python-mjpeg-to-mp4.git
quill,https://github.com/quilljs/quill.git
react-native,https://github.com/facebook/react-native.git
react-native-web,https://github.com/necolas/react-native-web.git
react-starter-kit,https://github.com/kriasoft/react-starter-kit.git
rescript-compiler,https://github.com/rescript-lang/rescript-compiler
ringbuf.js,https://github.com/padenot/ringbuf.js.git
rollup,https://github.com/rollup/rollup.git
rollup-pluginutils,https://github.com/rollup/rollup-pluginutils.git
rspack,https://github.com/web-infra-dev/rspack.git
rustlings,https://github.com/rust-lang/rustlings.git
rxjs,https://github.com/ReactiveX/rxjs.git
shaka-player,https://github.com/shaka-project/shaka-player.git
shoelace,https://github.com/shoelace-style/shoelace.git
